replay,opponent,archetype
replays\bulk\episode-82506681-replay.json,Tatsuya50,dragapult
replays\bulk\episode-82507714-replay.json,Jose Coronel,other/unknown
replays\bulk\episode-82515734-replay.json,vkhydras,archaludon
replays\bulk\episode-82517815-replay.json,Mih Zam,bellibolt
replays\bulk\episode-82518889-replay.json,nakayashiki697,dragapult
replays\bulk\episode-82519598-replay.json,takaygiiiiiiii,lucario
replays\bulk\episode-82533144-replay.json,Gotta Prompt ’Em All,alakazam
replays\bulk\episode-82539943-replay.json,kashiwashira,rockets-mewtwo
replays\bulk\episode-82541896-replay.json,Tak Jim,crustle
replays\bulk\episode-82549945-replay.json,kuromoka,other/unknown
replays\bulk\episode-82552748-replay.json,Tyshi79,alakazam
replays\bulk\episode-82554164-replay.json,KenPTCG,other/unknown
replays\bulk\episode-82555498-replay.json,Ryosuke SHIMIZU,lucario
replays\bulk\episode-82559817-replay.json,kose maeno,abomasnow
replays\bulk\episode-82565168-replay.json,MD. Nazmus Sakib Anik,starmie
replays\bulk\episode-82566273-replay.json,larry54321zhao,dragapult
replays\bulk\episode-82578361-replay.json,ytk03,crustle
replays\bulk\episode-82589369-replay.json,Mindnightdestroy,other/unknown
replays\bulk\episode-82594183-replay.json,Super Mippo,alakazam
replays\bulk\episode-82596823-replay.json,Paramita,lucario
replays\bulk\episode-82602366-replay.json,Yut176,crustle
replays\bulk\episode-82609760-replay.json,NayuNayu,dragapult
replays\bulk\episode-82616966-replay.json,jeruman,starmie
replays\bulk\episode-82619625-replay.json,capella,lucario
replays\bulk\episode-82629187-replay.json,kenn,other/unknown
replays\bulk\episode-82637402-replay.json,tk,other/unknown
replays\bulk\episode-82642458-replay.json,shogo1229,starmie
replays\bulk\episode-82647008-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82647126-replay.json,PKMN Trainer L,lucario
replays\bulk\episode-82647779-replay.json,sati1996,dragapult
replays\bulk\episode-82648262-replay.json,Bigree,other/unknown
replays\bulk\episode-82648785-replay.json,Arnav Dagli,other/unknown
replays\bulk\episode-82649403-replay.json,FcoUniverse,abomasnow
replays\bulk\episode-82650067-replay.json,SunaD0630,other/unknown
replays\bulk\episode-82650561-replay.json,Kohecchi,lucario
replays\bulk\episode-82651230-replay.json,今井大登,dragapult
replays\bulk\episode-82651840-replay.json,hayle60,dragapult
replays\bulk\episode-82652290-replay.json,balake235,starmie
replays\bulk\episode-82652301-replay.json,Kawee Lekmuenwai,starmie
replays\bulk\episode-82652798-replay.json,Eamonn Kashyap,other/unknown
replays\bulk\episode-82653461-replay.json,seven,abomasnow
replays\bulk\episode-82653959-replay.json,hakobe,raging-bolt
replays\bulk\episode-82654630-replay.json,aosi123,other/unknown
replays\bulk\episode-82655117-replay.json,sakaitt,lucario
replays\bulk\episode-82655770-replay.json,toru,other/unknown
replays\bulk\episode-82656415-replay.json,YOGESH M,abomasnow
replays\bulk\episode-82656907-replay.json,Kentaro Hirose,alakazam
replays\bulk\episode-82657566-replay.json,amokun,crustle
replays\bulk\episode-82658223-replay.json,E_96tree,lucario
replays\bulk\episode-82658711-replay.json,Aikimi,starmie
replays\bulk\episode-82659339-replay.json,Sijin Yu,lucario
replays\bulk\episode-82660567-replay.json,koki334,starmie
replays\bulk\episode-82661998-replay.json,LeonArdoV.,lucario
replays\bulk\episode-82665810-replay.json,Rishav Dutta,starmie
replays\bulk\episode-82668570-replay.json,NaviCE,other/unknown
replays\bulk\episode-82671735-replay.json,kotsuton,lucario
replays\bulk\episode-82676394-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82676966-replay.json,DOMinators,other/unknown
replays\bulk\episode-82677597-replay.json,原田龍馬,dragapult
replays\bulk\episode-82678236-replay.json,salmon2nd,other/unknown
replays\bulk\episode-82678442-replay.json,Sho Hasegawa,other/unknown
replays\bulk\episode-82678738-replay.json,3fk,archaludon
replays\bulk\episode-82679381-replay.json,Mikio,other/unknown
replays\bulk\episode-82680015-replay.json,klog,archaludon
replays\bulk\episode-82680660-replay.json,Shachify,lucario
replays\bulk\episode-82680860-replay.json,Noalith,crustle
replays\bulk\episode-82681309-replay.json,shanpu,crustle
replays\bulk\episode-82681953-replay.json,Nicholas Low,alakazam
replays\bulk\episode-82682450-replay.json,Evan Liu,abomasnow
replays\bulk\episode-82683093-replay.json,yskt_min,lucario
replays\bulk\episode-82683580-replay.json,MCH,archaludon
replays\bulk\episode-82684168-replay.json,nanocloudx,dragapult
replays\bulk\episode-82684224-replay.json,Miguel-jp,alakazam
replays\bulk\episode-82684863-replay.json,Shoto,lucario
replays\bulk\episode-82685344-replay.json,ゆとり,starmie
replays\bulk\episode-82685837-replay.json,Nozomi Maki,archaludon
replays\bulk\episode-82686468-replay.json,Aaron Fletcher,crustle
replays\bulk\episode-82686960-replay.json,TTITIM,lucario
replays\bulk\episode-82687593-replay.json,Xiaolei Lian,lucario
replays\bulk\episode-82688074-replay.json,Hiro Nomo,dragapult
replays\bulk\episode-82688717-replay.json,sukesuke012,lucario
replays\bulk\episode-82689366-replay.json,GIVE ME A JOB,crustle
replays\bulk\episode-82689857-replay.json,MPGaming,rockets-mewtwo
replays\bulk\episode-82690507-replay.json,SUGI,lucario
replays\bulk\episode-82690988-replay.json,ChillR,starmie
replays\bulk\episode-82691469-replay.json,nakkan_AI,archaludon
replays\bulk\episode-82691560-replay.json,Kazuhiro Sato,crustle
replays\bulk\episode-82691950-replay.json,Hale Obernolte,alakazam
replays\bulk\episode-82692374-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82692611-replay.json,pepe,alakazam
replays\bulk\episode-82692953-replay.json,kekekk,lucario
replays\bulk\episode-82693078-replay.json,moeuuu,lucario
replays\bulk\episode-82693589-replay.json,Senn88,lucario
replays\bulk\episode-82694073-replay.json,Masataka Sawada,lucario
replays\bulk\episode-82694556-replay.json,capella,lucario
replays\bulk\episode-82695039-replay.json,oisho,alakazam
replays\bulk\episode-82695674-replay.json,GluePickel,alakazam
replays\bulk\episode-82695892-replay.json,psyrax012,other/unknown
replays\bulk\episode-82696313-replay.json,Testuo&Ryuji,alakazam
replays\bulk\episode-82696413-replay.json,XIAODOUZI,crustle
replays\bulk\episode-82696802-replay.json,nattomaki,dragapult
replays\bulk\episode-82697289-replay.json,morux2,dragapult
replays\bulk\episode-82697773-replay.json,nishikawa,dragapult
replays\bulk\episode-82698262-replay.json,HirotaSaurus,dragapult
replays\bulk\episode-82698442-replay.json,b13902103_yuhung94,dragapult
replays\bulk\episode-82698900-replay.json,Rixu324,starmie
replays\bulk\episode-82699533-replay.json,MPGaming,rockets-mewtwo
replays\bulk\episode-82700021-replay.json,Joshua Magady,other/unknown
replays\bulk\episode-82700512-replay.json,hookbook,alakazam
replays\bulk\episode-82700692-replay.json,ini,lucario
replays\bulk\episode-82701009-replay.json,yuhas0726,starmie
replays\bulk\episode-82701644-replay.json,Daniel Casellas,archaludon
replays\bulk\episode-82702282-replay.json,Noalith,crustle
replays\bulk\episode-82702922-replay.json,Klein Houmani,other/unknown
replays\bulk\episode-82703416-replay.json,KenPTCG,other/unknown
replays\bulk\episode-82704054-replay.json,Supermercado,archaludon
replays\bulk\episode-82704701-replay.json,WheeGyeom Kim,starmie
replays\bulk\episode-82705191-replay.json,miura-iori,other/unknown
replays\bulk\episode-82705646-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82705890-replay.json,Yehun Jeon,starmie
replays\bulk\episode-82706221-replay.json,moe,other/unknown
replays\bulk\episode-82706329-replay.json,lilylily26,starmie
replays\bulk\episode-82706713-replay.json,Sonika20000002,lucario
replays\bulk\episode-82706816-replay.json,choku777,other/unknown
replays\bulk\episode-82707350-replay.json,Tsubasa Kanno,other/unknown
replays\bulk\episode-82707478-replay.json,miyakokonbu,starmie
replays\bulk\episode-82707995-replay.json,EfReI,dragapult
replays\bulk\episode-82708487-replay.json,toru,lucario
replays\bulk\episode-82708976-replay.json,kotone,dragapult
replays\bulk\episode-82709173-replay.json,Morcillones,abomasnow
replays\bulk\episode-82709625-replay.json,Abhinav_Abhinav_the_one,abomasnow
replays\bulk\episode-82710088-replay.json,IwaKri,archaludon
replays\bulk\episode-82710122-replay.json,ggbong,starmie
replays\bulk\episode-82710613-replay.json,TAKUTO INOUE,other/unknown
replays\bulk\episode-82710949-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82711040-replay.json,Masatoshi Henmi,other/unknown
replays\bulk\episode-82711107-replay.json,Phil Franco,other/unknown
replays\bulk\episode-82711528-replay.json,ごんさくよねきち,archaludon
replays\bulk\episode-82711589-replay.json,Issy,lucario
replays\bulk\episode-82712161-replay.json,D kameT,lucario
replays\bulk\episode-82712217-replay.json,DiadoraTCG,starmie
replays\bulk\episode-82712797-replay.json,eryu1225,crustle
replays\bulk\episode-82712866-replay.json,Nozomi Maki,archaludon
replays\bulk\episode-82713437-replay.json,KiChang.Kim,alakazam
replays\bulk\episode-82713508-replay.json,たいたん,other/unknown
replays\bulk\episode-82713928-replay.json,EmoLab,dragapult
replays\bulk\episode-82713999-replay.json,satoshi rizard,dragapult
replays\bulk\episode-82714417-replay.json,Hanliu0408,other/unknown
replays\bulk\episode-82714479-replay.json,Rushil Ramachandran,starmie
replays\bulk\episode-82715063-replay.json,Kiyotaka Kobayashi,other/unknown
replays\bulk\episode-82715125-replay.json,CodeHacker,archaludon
replays\bulk\episode-82715555-replay.json,altvision,other/unknown
replays\bulk\episode-82715610-replay.json,YOGA RAJ 1503,abomasnow
replays\bulk\episode-82716046-replay.json,chephes,other/unknown
replays\bulk\episode-82716096-replay.json,FromAtom,starmie
replays\bulk\episode-82716533-replay.json,Hiroki Maruo,dragapult
replays\bulk\episode-82716589-replay.json,chocoseiya,starmie
replays\bulk\episode-82717023-replay.json,OOM,starmie
replays\bulk\episode-82717078-replay.json,TutaevAlim,other/unknown
replays\bulk\episode-82717670-replay.json,MATSUMOTO Ryutaro,abomasnow
replays\bulk\episode-82717734-replay.json,Itton_knight,alakazam
replays\bulk\episode-82718303-replay.json,Alex DR,other/unknown
replays\bulk\episode-82718358-replay.json,coken256kit,crustle
replays\bulk\episode-82718935-replay.json,今井大登,other/unknown
replays\bulk\episode-82718991-replay.json,GoodSmell,lucario
replays\bulk\episode-82719031-replay.json,Jerryssk31,starmie
replays\bulk\episode-82719589-replay.json,Libur_,starmie
replays\bulk\episode-82719640-replay.json,porply,abomasnow
replays\bulk\episode-82720231-replay.json,しろしろ,lucario
replays\bulk\episode-82720278-replay.json,ShiumAI,alakazam
replays\bulk\episode-82720860-replay.json,kaneko takafumi,starmie
replays\bulk\episode-82720914-replay.json,Koshiro Yasuyama,crustle
replays\bulk\episode-82721410-replay.json,安藤駿介,other/unknown
replays\bulk\episode-82721457-replay.json,Dongwook Kim,lucario
replays\bulk\episode-82721934-replay.json,Andrin Rehmann,starmie
replays\bulk\episode-82722599-replay.json,Remi Wynthein,abomasnow
replays\bulk\episode-82723100-replay.json,Hiểu Vy,lucario
replays\bulk\episode-82723603-replay.json,ImANoob1122,other/unknown
replays\bulk\episode-82723614-replay.json,Dongwook Kim,lucario
replays\bulk\episode-82724101-replay.json,Masataka Sawada,lucario
replays\bulk\episode-82724777-replay.json,tabby,other/unknown
replays\bulk\episode-82725417-replay.json,rikulist,other/unknown
replays\bulk\episode-82727612-replay.json,yuki matsumori,dragapult
replays\bulk\episode-82731829-replay.json,kinocode,other/unknown
replays\bulk\episode-82740752-replay.json,stellab,abomasnow
replays\bulk\episode-82741353-replay.json,Tsubasa Kanno,starmie
replays\bulk\episode-82745273-replay.json,sou yamaguchi,other/unknown
replays\bulk\episode-82759339-replay.json,YAKIIMO3,crustle
replays\bulk\episode-82761389-replay.json,Sky kun,archaludon
replays\bulk\episode-82766019-replay.json,tonpeeee_pokemon,starmie
replays\bulk\episode-82779632-replay.json,P.J Leek,other/unknown
replays\bulk\episode-82792200-replay.json,Pokemick,other/unknown
replays\bulk\episode-82805090-replay.json,Jake Palanca,starmie
replays\bulk\episode-82805094-replay.json,GUOHAOYANG,lucario
replays\bulk\episode-82806810-replay.json,NuuNohjo,raging-bolt
replays\bulk\episode-82810853-replay.json,ShuHaya,abomasnow
replays\bulk\episode-82815923-replay.json,Roo333,archaludon
replays\bulk\episode-82816294-replay.json,CIARANA,archaludon
replays\bulk\episode-82821221-replay.json,Sakito Horie,archaludon
replays\bulk\episode-82825737-replay.json,Murat Kolic,dragapult
replays\bulk\episode-82827752-replay.json,pokeka_ryo,starmie
replays\bulk\episode-82832409-replay.json,SOUTA Sakurai,starmie
replays\bulk\episode-82833711-replay.json,Kirby Tran,other/unknown
replays\bulk\episode-82835861-replay.json,Rishav Dutta,starmie
replays\bulk\episode-82840228-replay.json,vvs,archaludon
replays\bulk\episode-82843766-replay.json,discoverybytes,starmie
replays\bulk\episode-82851769-replay.json,Capitaalgain,dragapult
replays\bulk\episode-82867366-replay.json,Patrick M.,abomasnow
replays\bulk\episode-82869464-replay.json,Jose Coronel,other/unknown
replays\bulk\episode-82870692-replay.json,kurikuri54,starmie
replays\bulk\episode-82874612-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82874712-replay.json,Kaiba Corporation,alakazam
replays\bulk\episode-82875354-replay.json,Thazzeus,lucario
replays\bulk\episode-82875994-replay.json,Forager,starmie
replays\bulk\episode-82876641-replay.json,Ajito Nelson,other/unknown
replays\bulk\episode-82877127-replay.json,ebisu_ya,abomasnow
replays\bulk\episode-82877618-replay.json,TmT,other/unknown
replays\bulk\episode-82878259-replay.json,naokichi4869,crustle
replays\bulk\episode-82878898-replay.json,MachinaExMachina,crustle
replays\bulk\episode-82879538-replay.json,The8BitsLab,abomasnow
replays\bulk\episode-82880181-replay.json,xyc6667,lucario
replays\bulk\episode-82880848-replay.json,Coconnut,archaludon
replays\bulk\episode-82881669-replay.json,toshizo,lucario
replays\bulk\episode-82882323-replay.json,Yizhi,other/unknown
replays\bulk\episode-82882991-replay.json,treo_hihihi,alakazam
replays\bulk\episode-82883666-replay.json,SoraTakanashi,archaludon
replays\bulk\episode-82884337-replay.json,secchanu,dragapult
replays\bulk\episode-82885010-replay.json,SantaClaws,starmie
replays\bulk\episode-82885826-replay.json,yuna5577,crustle
replays\bulk\episode-82886631-replay.json,watawata_user,abomasnow
replays\bulk\episode-82887306-replay.json,Nidy,abomasnow
replays\bulk\episode-82887979-replay.json,Kamalesh Panda,lucario
replays\bulk\episode-82888649-replay.json,Kouhei　Sakamoto,dragapult
replays\bulk\episode-82889591-replay.json,THE TORQUE WRENCHES,archaludon
replays\bulk\episode-82889986-replay.json,mayuki,other/unknown
replays\bulk\episode-82890653-replay.json,MADICHETTY SAI RUCHITHA,bellibolt
replays\bulk\episode-82891312-replay.json,shushu,abomasnow
replays\bulk\episode-82892141-replay.json,Ryota Matsuki,lucario
replays\bulk\episode-82892917-replay.json,KT MATA,raging-bolt
replays\bulk\episode-82893562-replay.json,NTUPM,abomasnow
replays\bulk\episode-82894417-replay.json,Kakimoto Takahiro,lucario
replays\bulk\episode-82894562-replay.json,Zwieks,lucario
replays\bulk\episode-82896396-replay.json,YU YAUCHI,starmie
replays\bulk\episode-82898063-replay.json,hau,other/unknown
replays\bulk\episode-82901051-replay.json,Jason Anderson,alakazam
replays\bulk\episode-82901148-replay.json,ankounabe114,crustle
replays\bulk\episode-82901783-replay.json,Tak Jim,crustle
replays\bulk\episode-82902576-replay.json,wmore8,other/unknown
replays\bulk\episode-82902787-replay.json,あかくま屋,alakazam
replays\bulk\episode-82903375-replay.json,Blacklions.,lucario
replays\bulk\episode-83868804-replay.json,gtansu,alakazam
replays\v22\83156504.json,japan nobu,alakazam
replays\v22\83157922.json,Alfonso Sánchez,alakazam
replays\v22\83159402.json,ikaikasama,dragapult
replays\v23\83166796.json,Kazuta MIZUTA,archaludon
replays\v23\83168091.json,Tsuyoshi Chiba,alakazam
replays\v23\83168738.json,Thazzeus,lucario
replays\v23\83173539.json,titanascended,lucario
replays\v23\83175768.json,need a job (we're unemployed),grimmsnarl
replays\v23\83296936.json,tellusium,starmie
replays\v23\83309593.json,StockMagikarp,abomasnow
replays\v23\83327563.json,IIDA,starmie
replays\v23\83332461.json,suguuuuu & hiehie,rockets-mewtwo
replays\v23\83344386.json,kajitake,dragapult
replays\v23\83347329.json,KellersInColorado,dragapult
replays\v23\83348630.json,ヌメルゴンex,crustle
replays\v23\83358041 (1).json,Akhil Chinta,archaludon
replays\v23\83358041.json,Akhil Chinta,archaludon
replays\v23\83367960.json,monnosuke,dragapult
replays\v25.2\83454333.json,MooDerEchte,crustle
replays\v25.2\83455146.json,Praxel,archaludon
replays\v25.2\83455814.json,Praxel,archaludon
replays\v25.2\83458785.json,Davide,starmie
replays\v25.2\83459589.json,baudo828,crustle
replays\v25.2\83461698.json,"Pikachu, I choose you!",lucario
replays\v25.2\83462350.json,curry panda ex,lucario
replays\v25\83429870-1.json,?,PARSE_ERROR('list' object has no attribute 'get')
replays\v25\83429870.json,Kento_1938,other/unknown
replays\v26c\83469078.json,hoodrichpirobo,alakazam
